Dates,Descript,DayOfWeek,PdDistrict,Resolution,Address,X,Y,Category
2/9/2011 18:00,GRAND THEFT FROM A BUILDING,Wednesday,SOUTHERN,NONE,100 Block of KING ST,-122.3908586,37.77909636,LARCENY/THEFT
9/17/2009 8:55,BATTERY,Thursday,CENTRAL,"ARREST, CITED",0 Block of GEARY ST,-122.4042776,37.78791853,ASSAULT
9/9/2006 19:23,POSS OF LOADED FIREARM,Saturday,TENDERLOIN,"ARREST, BOOKED",0 Block of UNITEDNATIONS PZ,-122.4143122,37.77983392,WEAPON LAWS
11/14/2013 19:00,SALE OF METH-AMPHETAMINE,Thursday,SOUTHERN,NONE,9TH ST / HARRISON ST,-122.4100785,37.77252649,DRUG/NARCOTIC
5/25/2004 16:42,"DRIVERS LICENSE, SUSPENDED OR REVOKED",Tuesday,BAYVIEW,"ARREST, CITED",REVERE AV / JENNINGS ST,-122.3864207,37.72954477,OTHER OFFENSES
9/4/2013 6:25,BATTERY,Wednesday,INGLESIDE,NONE,900 Block of VISITACION AV,-122.408409,37.71152533,ASSAULT
3/10/2011 16:07,PAROLE VIOLATION,Thursday,TENDERLOIN,"ARREST, BOOKED",200 Block of LEAVENWORTH ST,-122.4140811,37.78327673,OTHER OFFENSES
6/15/2006 14:30,"FORGERY, DRIVERS LICENSE OR ID-CARD",Thursday,NORTHERN,NONE,100 Block of VANNESS AV,-122.4194569,37.77686172,FORGERY/COUNTERFEITING
11/26/2014 20:20,THREATS AGAINST LIFE,Wednesday,MISSION,NONE,1100 Block of SHOTWELL ST,-122.4148673,37.75002625,ASSAULT
6/30/2013 15:30,PETTY THEFT OF PROPERTY,Sunday,NORTHERN,NONE,0 Block of GROVE ST,-122.4174486,37.77864381,LARCENY/THEFT
11/14/2006 14:13,STOLEN AUTOMOBILE,Tuesday,BAYVIEW,NONE,2000 Block of SILVER AV,-122.4005602,37.73540563,VEHICLE THEFT
2/9/2011 23:22,ENROUTE TO OUTSIDE JURISDICTION,Wednesday,NORTHERN,"ARREST, BOOKED",1600 Block of SACRAMENTO ST,-122.4200742,37.79165219,WARRANTS
10/19/2011 13:14,ENROUTE TO DEPARTMENT OF CORRECTIONS,Wednesday,BAYVIEW,"ARREST, BOOKED",1000 Block of OAKDALE AV,-122.3803483,37.72882763,WARRANTS
5/2/2013 16:00,STOLEN AUTOMOBILE,Thursday,MISSION,NONE,GUERRERO ST / 20TH ST,-122.4234883,37.75836507,VEHICLE THEFT
3/22/2012 15:30,GRAND THEFT OF PROPERTY,Thursday,NORTHERN,NONE,1600 Block of LOMBARD ST,-122.4286873,37.80089674,LARCENY/THEFT
8/10/2014 20:30,GRAND THEFT FROM UNLOCKED AUTO,Sunday,PARK,NONE,1100 Block of DIVISADERO ST,-122.4387088,37.78015018,LARCENY/THEFT
6/2/2011 14:00,GRAND THEFT FROM LOCKED AUTO,Thursday,SOUTHERN,NONE,100 Block of 7TH ST,-122.4107181,37.77895976,LARCENY/THEFT
8/7/2008 21:00,GRAND THEFT FROM LOCKED AUTO,Thursday,MISSION,NONE,16TH ST / SHOTWELL ST,-122.4163897,37.76524912,LARCENY/THEFT
8/6/2012 21:00,STOLEN AUTOMOBILE,Monday,INGLESIDE,UNFOUNDED,3300 Block of MISSION ST,-122.421128,37.74355505,VEHICLE THEFT
5/2/2014 1:30,"MALICIOUS MISCHIEF, GRAFFITI",Friday,CENTRAL,NONE,1200 Block of GRANT AV,-122.4070495,37.79833992,VANDALISM
9/6/2013 0:01,PETTY THEFT OF PROPERTY,Friday,SOUTHERN,NONE,1000 Block of FOLSOM ST,-122.405834,37.77825481,LARCENY/THEFT
3/8/2014 13:54,POSSESSION OF METH-AMPHETAMINE,Saturday,SOUTHERN,"ARREST, BOOKED",6TH ST / MINNA ST,-122.408163,37.78053454,DRUG/NARCOTIC
2/26/2012 18:00,LOST PROPERTY,Sunday,RICHMOND,NONE,PARKPRESIDIO BL / FULTON ST,-122.4717623,37.77313706,NON-CRIMINAL
6/15/2013 3:45,ROBBERY ON THE STREET WITH A KNIFE,Saturday,CENTRAL,NONE,JACKSON ST / FRONT ST,-122.3995111,37.7969249,ROBBERY
2/8/2007 5:08,"AIDED CASE, MENTAL DISTURBED",Thursday,SOUTHERN,NONE,200 Block of 8TH ST,-122.4112719,37.77603295,NON-CRIMINAL
4/17/2006 5:00,"BURGLARY OF STORE, FORCIBLE ENTRY",Monday,BAYVIEW,NONE,2900 Block of SAN BRUNO AV,-122.4022886,37.72465238,BURGLARY
3/5/2007 13:30,"BURGLARY OF RESIDENCE, UNLAWFUL ENTRY",Monday,NORTHERN,NONE,3700 Block of FILLMORE ST,-122.4371949,37.80588631,BURGLARY
5/15/2012 0:15,INVESTIGATIVE DETENTION,Tuesday,RICHMOND,UNFOUNDED,2700 Block of MCALLISTER ST,-122.4574621,37.77530491,SUSPICIOUS OCC
2/3/2015 8:42,EVADING PAYMENT OF RAILROAD FARE,Tuesday,SOUTHERN,"ARREST, BOOKED",800 Block of MARKET ST,-122.4076335,37.78418935,OTHER OFFENSES
12/22/2014 10:00,GRAND THEFT FROM LOCKED AUTO,Monday,CENTRAL,NONE,NORTHPOINT ST / MASON ST,-122.4137895,37.80655265,LARCENY/THEFT
9/23/2010 17:11,ENROUTE TO OUTSIDE JURISDICTION,Thursday,BAYVIEW,"ARREST, BOOKED",4800 Block of 3RD ST,-122.3907055,37.73436801,WARRANTS
1/7/2015 0:51,TRANSPORTATION OF METH-AMPHETAMINE,Wednesday,MISSION,"ARREST, BOOKED",POTRERO AV / ALAMEDA ST,-122.4078155,37.76835487,DRUG/NARCOTIC
9/2/2008 17:09,"AIDED CASE, MENTAL DISTURBED",Tuesday,NORTHERN,NONE,100 Block of GOUGH ST,-122.4223863,37.77432673,NON-CRIMINAL
6/14/2006 8:40,TRAFFIC VIOLATION,Wednesday,SOUTHERN,"ARREST, CITED",0 Block of 6TH ST,-122.4100416,37.78195365,OTHER OFFENSES
4/23/2005 10:30,BATTERY,Saturday,SOUTHERN,NONE,1000 Block of HOWARD ST,-122.4080301,37.77912854,ASSAULT
1/8/2004 14:00,"MALICIOUS MISCHIEF, VANDALISM OF VEHICLES",Thursday,MISSION,NONE,400 Block of CASTRO ST,-122.4351501,37.76175972,VANDALISM
11/3/2012 15:20,GRAND THEFT OF PROPERTY,Saturday,NORTHERN,NONE,2400 Block of POLK ST,-122.4223645,37.79924526,LARCENY/THEFT
10/8/2010 21:40,"DRIVERS LICENSE, SUSPENDED OR REVOKED",Friday,TARAVAL,"ARREST, CITED",OCEAN AV / HOWTH ST,-122.4495569,37.72295982,OTHER OFFENSES
12/12/2003 21:45,INFLICT INJURY ON COHABITEE,Friday,INGLESIDE,"ARREST, BOOKED",1800 Block of SUNNYDALE AV,-122.417108,37.71225618,ASSAULT
2/4/2013 23:55,STOLEN AUTOMOBILE,Monday,RICHMOND,NONE,SACRAMENTO ST / ARGUELLO BL,-122.4592583,37.78662149,VEHICLE THEFT
5/12/2014 9:22,"WEAPON, POSSESS OR BRING OTHER ON SCHOOL GROUNDS",Monday,MISSION,JUVENILE BOOKED,3700 Block of 18TH ST,-122.4272424,37.76141181,WEAPON LAWS
7/2/2006 17:00,MISSING ADULT,Sunday,RICHMOND,NONE,100 Block of 6TH AV,-122.4647007,37.78581297,MISSING PERSON
10/1/2008 7:45,"BURGLARY OF APARTMENT HOUSE, FORCIBLE ENTRY",Wednesday,MISSION,NONE,3700 Block of CESAR CHAVEZ ST,-122.4236413,37.7478479,BURGLARY
3/8/2006 11:00,MISCELLANEOUS INVESTIGATION,Wednesday,SOUTHERN,PROSECUTED BY OUTSIDE AGENCY,500 Block of MARKET ST,-122.4018331,37.78903977,OTHER OFFENSES
4/18/2007 22:00,"BURGLARY,STORE UNDER CONSTRUCTION, FORCIBLE ENTRY",Wednesday,MISSION,NONE,1000 Block of POTRERO AV,-122.4065391,37.75648641,BURGLARY
4/17/2012 11:00,"MALICIOUS MISCHIEF, VANDALISM OF VEHICLES",Tuesday,TARAVAL,NONE,1400 Block of 33RD AV,-122.492,37.76008387,VANDALISM
6/9/2014 22:00,STOLEN TRUCK,Monday,INGLESIDE,NONE,200 Block of BRUNSWICK ST,-122.4403843,37.71146317,VEHICLE THEFT
2/23/2011 23:58,POSSESSION OF METH-AMPHETAMINE,Wednesday,MISSION,"ARREST, BOOKED",400 Block of CASTRO ST,-122.4351501,37.76175972,DRUG/NARCOTIC
11/16/2005 20:30,STOLEN AUTOMOBILE,Wednesday,INGLESIDE,NONE,300 Block of ROLPH ST,-122.4357011,37.71306476,VEHICLE THEFT
6/18/2006 19:45,MISCELLANEOUS INVESTIGATION,Sunday,SOUTHERN,NONE,100 Block of 6TH ST,-122.4084666,37.78070083,OTHER OFFENSES
9/11/2011 17:00,STOLEN AUTOMOBILE,Sunday,PARK,NONE,700 Block of BAKER ST,-122.441842,37.77783659,VEHICLE THEFT
8/18/2004 16:30,BATTERY,Wednesday,TENDERLOIN,NONE,0 Block of TURK ST,-122.4098537,37.78338624,ASSAULT
7/26/2003 23:55,STOLEN AUTOMOBILE,Saturday,RICHMOND,NONE,200 Block of 10TH AV,-122.4688399,37.78366483,VEHICLE THEFT
5/2/2008 0:01,FRAUDULENT CREDIT APPLICATION,Friday,SOUTHERN,NONE,800 Block of BRYANT ST,-122.4034048,37.77542071,FRAUD
8/17/2009 9:50,"BURGLARY OF RESIDENCE, UNLAWFUL ENTRY",Monday,BAYVIEW,NONE,1000 Block of SILLIMAN ST,-122.4154388,37.72847357,BURGLARY
5/5/2011 11:00,GRAND THEFT FROM LOCKED AUTO,Thursday,BAYVIEW,NONE,1000 Block of REVERE AV,-122.3798619,37.72588882,LARCENY/THEFT
6/25/2009 8:08,BATTERY,Thursday,MISSION,"ARREST, BOOKED",800 Block of POTRERO AV,-122.4067253,37.75856417,ASSAULT
3/5/2004 15:20,ATTEMPTED SIMPLE ASSAULT,Friday,CENTRAL,NONE,LARKIN ST / NORTH POINT ST,-122.422009,37.80549603,ASSAULT
9/8/2005 15:30,GRAND THEFT FROM PERSON,Thursday,SOUTHERN,NONE,0 Block of 6TH ST,-122.4089132,37.78121165,LARCENY/THEFT
3/4/2004 17:55,POSSESSION OF BASE/ROCK COCAINE,Thursday,BAYVIEW,"ARREST, BOOKED",DAKOTA ST / 23RD ST,-122.3967161,37.75485988,DRUG/NARCOTIC
7/22/2009 20:17,GRAND THEFT FROM A BUILDING,Wednesday,TARAVAL,NONE,3200 Block of 20TH AV,-122.4756475,37.72852806,LARCENY/THEFT
11/14/2003 15:30,GRAND THEFT FROM LOCKED AUTO,Friday,SOUTHERN,NONE,5TH ST / MARKET ST,-122.4080683,37.78399168,LARCENY/THEFT
8/23/2009 0:50,GRAND THEFT FROM LOCKED AUTO,Sunday,SOUTHERN,NONE,800 Block of BRYANT ST,-122.4034048,37.77542071,LARCENY/THEFT
6/9/2008 13:30,PETTY THEFT SHOPLIFTING,Monday,SOUTHERN,NONE,400 Block of 6TH ST,-122.4029836,37.77632803,LARCENY/THEFT
11/11/2004 13:40,ATTEMPTED ROBBERY ON THE STREET WITH A KNIFE,Thursday,TENDERLOIN,NONE,GOLDEN GATE AV / LARKIN ST,-122.4171468,37.78144635,ROBBERY
11/16/2003 18:17,POSSESSION OF HEROIN,Sunday,BAYVIEW,"ARREST, BOOKED",1400 Block of KIRKWOOD CT,-122.3878085,37.7369225,DRUG/NARCOTIC
1/15/2010 16:30,GRAND THEFT BICYCLE,Friday,BAYVIEW,NONE,1300 Block of 3RD ST,-122.3897062,37.77153687,LARCENY/THEFT
6/17/2007 12:45,LOST PROPERTY,Sunday,SOUTHERN,NONE,800 Block of BRYANT ST,-122.4034048,37.77542071,NON-CRIMINAL
2/24/2011 20:15,GRAND THEFT FROM LOCKED AUTO,Thursday,SOUTHERN,NONE,BRANNAN ST / 2ND ST,-122.3920823,37.78184577,LARCENY/THEFT
10/31/2005 17:15,GRAND THEFT SHOPLIFTING,Monday,CENTRAL,NONE,700 Block of NORTHPOINT ST,-122.4195705,37.80587809,LARCENY/THEFT
5/28/2008 14:44,PETTY THEFT WITH PRIOR,Wednesday,SOUTHERN,"ARREST, BOOKED",700 Block of MARKET ST,-122.4053594,37.78597748,LARCENY/THEFT
8/24/2003 17:18,ENGAGING IN LEWD CONDUCT - PROSTITUTION RELATED,Sunday,MISSION,"ARREST, BOOKED",600 Block of ALABAMA ST,-122.4120562,37.76098991,PROSTITUTION
8/12/2006 13:00,GRAND THEFT FROM LOCKED AUTO,Saturday,CENTRAL,NONE,POLK ST / BEACH ST,-122.4238488,37.80622143,LARCENY/THEFT
4/20/2005 2:00,"VEHICLE, RECOVERED, OTHER VEHICLE",Wednesday,BAYVIEW,NONE,100 Block of YALE ST,-122.4177186,37.72725741,VEHICLE THEFT
12/8/2003 9:33,JUVENILE INVOLVED,Monday,TARAVAL,NONE,2100 Block of 24TH AV,-122.481305,37.74746132,SECONDARY CODES
2/8/2005 17:00,ATTEMPTED STOLEN VEHICLE,Tuesday,INGLESIDE,NONE,0 Block of ALPHA ST,-122.4028299,37.71522565,VEHICLE THEFT
10/29/2007 8:39,UNDER INFLUENCE OF ALCOHOL IN A PUBLIC PLACE,Monday,INGLESIDE,"ARREST, BOOKED",800 Block of VIENNA ST,-122.4341573,37.71540031,DRUNKENNESS
10/5/2013 13:05,SALE OF CONTROLLED SUBSTANCE,Saturday,TENDERLOIN,"ARREST, BOOKED",JONES ST / TURK ST,-122.4124143,37.7830038,DRUG/NARCOTIC
2/20/2013 0:01,STOLEN AUTOMOBILE,Wednesday,TARAVAL,NONE,LINCOLN WY / 45TH AV,-122.5051173,37.76421264,VEHICLE THEFT
8/18/2008 4:06,STOLEN AND RECOVERED VEHICLE,Monday,NORTHERN,"ARREST, BOOKED",2400 Block of VANNESS AV,-122.4240604,37.79807234,VEHICLE THEFT
7/13/2013 18:00,GRAND THEFT FROM LOCKED AUTO,Saturday,CENTRAL,NONE,UNION ST / TAYLOR ST,-122.4141214,37.79982286,LARCENY/THEFT
5/21/2006 9:00,THREATS AGAINST LIFE,Sunday,CENTRAL,NONE,600 Block of LEAVENWORTH ST,-122.4148345,37.78700449,ASSAULT
6/30/2013 3:45,PETTY THEFT OF PROPERTY,Sunday,SOUTHERN,NONE,12TH ST / FOLSOM ST,-122.4149989,37.77089466,LARCENY/THEFT
6/12/2013 0:28,"AIDED CASE, MENTAL DISTURBED",Wednesday,SOUTHERN,"ARREST, CITED",200 Block of TOWNSEND ST,-122.3934606,37.77836788,NON-CRIMINAL
7/8/2013 8:00,HARASSING PHONE CALLS,Monday,TARAVAL,COMPLAINANT REFUSES TO PROSECUTE,0 Block of CAINE AV,-122.4505625,37.71738357,OTHER OFFENSES
8/7/2007 21:55,"MALICIOUS MISCHIEF, VANDALISM",Tuesday,BAYVIEW,NONE,20TH ST / 3RD ST,-122.3885594,37.76049292,VANDALISM
12/28/2008 11:00,PETTY THEFT FROM LOCKED AUTO,Sunday,BAYVIEW,NONE,HARNEY WY / JAMESTOWN AV,-122.3864521,37.71116187,LARCENY/THEFT
4/3/2008 19:30,MISSING JUVENILE,Thursday,BAYVIEW,NONE,1400 Block of PHELPS ST,-122.3944389,37.7364439,MISSING PERSON
1/25/2008 2:15,GRAND THEFT FROM LOCKED AUTO,Friday,TENDERLOIN,NONE,700 Block of OFARRELL ST,-122.4171073,37.78532383,LARCENY/THEFT
3/20/2004 13:30,"VEHICLE, RECOVERED, AUTO",Saturday,CENTRAL,NONE,200 Block of GEARY ST,-122.407435,37.78751587,VEHICLE THEFT
9/3/2008 23:00,"MALICIOUS MISCHIEF, VANDALISM OF VEHICLES",Wednesday,BAYVIEW,NONE,1300 Block of KANSAS ST,-122.4023053,37.75259026,VANDALISM
9/21/2005 17:30,ENROUTE TO DEPARTMENT OF CORRECTIONS,Wednesday,TARAVAL,"ARREST, BOOKED",JUDAH ST / 9TH AV,-122.4661808,37.76217382,WARRANTS
4/18/2003 3:30,PETTY THEFT FROM LOCKED AUTO,Friday,RICHMOND,NONE,9TH AV / GEARY BL,-122.4674893,37.78087792,LARCENY/THEFT
6/23/2003 12:35,AGGRAVATED ASSAULT WITH BODILY FORCE,Monday,BAYVIEW,"ARREST, BOOKED",16TH ST / ILLINOIS ST,-122.3881701,37.76695713,ASSAULT
2/10/2012 1:30,"CREDIT CARD, THEFT BY USE OF",Friday,NORTHERN,"ARREST, BOOKED",3000 Block of FILLMORE ST,-122.4356542,37.7975553,FRAUD
5/15/2006 12:55,THREATS AGAINST LIFE,Monday,TENDERLOIN,NONE,200 Block of TURK ST,-122.4132375,37.78284302,ASSAULT
7/3/2011 13:00,GRAND THEFT FROM PERSON,Sunday,TENDERLOIN,LOCATED,100 Block of OFARRELL ST,-122.4072441,37.78656476,LARCENY/THEFT
5/2/2015 17:00,LOST/STOLEN LICENSE PLATE,Saturday,SOUTHERN,NONE,200 Block of INTERSTATE80 HY,-122.3655654,37.8096707,OTHER OFFENSES
12/10/2012 13:26,STOLEN TRUCK,Monday,MISSION,NONE,600 Block of YORK ST,-122.4091626,37.76116373,VEHICLE THEFT
11/5/2011 8:00,"CREDIT CARD, THEFT BY USE OF",Saturday,NORTHERN,NONE,1400 Block of POST ST,-122.4265297,37.78604277,FRAUD
6/28/2012 21:30,SUSPICIOUS OCCURRENCE,Thursday,INGLESIDE,NONE,2400 Block of BAY SHORE BL,-122.4040796,37.71085552,SUSPICIOUS OCC
2/20/2003 22:22,PREJUDICE-BASED INCIDENT,Thursday,RICHMOND,NONE,3700 Block of GEARY BL,-122.4594395,37.78111401,SECONDARY CODES
4/2/2004 17:30,"BURGLARY,RESIDENCE UNDER CONSTRT, FORCIBLE ENTRY",Friday,MISSION,NONE,700 Block of SANCHEZ ST,-122.4300953,37.75757399,BURGLARY
1/11/2008 17:47,"AIDED CASE, MENTAL DISTURBED",Friday,SOUTHERN,PSYCHOPATHIC CASE,800 Block of BRYANT ST,-122.4034048,37.77542071,NON-CRIMINAL
9/29/2003 14:04,"AIDED CASE, MENTAL DISTURBED",Monday,SOUTHERN,NONE,1000 Block of MISSION ST,-122.4098928,37.7801135,NON-CRIMINAL
9/4/2007 14:15,THREATS TO SCHOOL TEACHERS,Tuesday,INGLESIDE,"ARREST, BOOKED",1000 Block of CAYUGA AV,-122.4400066,37.72180488,ASSAULT
10/18/2010 16:13,"MALICIOUS MISCHIEF, VANDALISM OF VEHICLES",Monday,TENDERLOIN,"ARREST, BOOKED",STOCKTON ST / OFARRELL ST,-122.4064017,37.78661446,VANDALISM
7/25/2011 17:58,"AIDED CASE, MENTAL DISTURBED",Monday,PARK,NONE,1000 Block of FELL ST,-122.4351435,37.77442864,NON-CRIMINAL
6/30/2005 21:00,GRAND THEFT FROM LOCKED AUTO,Thursday,NORTHERN,NONE,FULTON ST / OCTAVIA ST,-122.4250006,37.7785385,LARCENY/THEFT
5/3/2005 16:30,"MALICIOUS MISCHIEF, VANDALISM OF VEHICLES",Tuesday,PARK,NONE,CLARENDON AV / LAGUNAHONDA BL,-122.4615254,37.75150257,VANDALISM
3/6/2008 18:00,STOLEN AUTOMOBILE,Thursday,MISSION,NONE,21ST ST / CAPP ST,-122.4178126,37.75710058,VEHICLE THEFT
6/28/2011 0:02,WARRANT ARREST,Tuesday,TENDERLOIN,"ARREST, BOOKED",LEAVENWORTH ST / ELLIS ST,-122.4144332,37.78465763,WARRANTS
12/31/2005 18:08,RECOVERED VEHICLE - STOLEN OUTSIDE SF,Saturday,INGLESIDE,NONE,MISSION ST / FRANCIS ST,-122.4333594,37.72658903,VEHICLE THEFT
4/16/2008 10:30,TRAFFIC VIOLATION,Wednesday,NORTHERN,"ARREST, CITED",OFARRELL ST / POLK ST,-122.4195496,37.78495901,OTHER OFFENSES
7/23/2014 9:30,PETTY THEFT OF PROPERTY,Wednesday,TENDERLOIN,NONE,ELLIS ST / TAYLOR ST,-122.4111419,37.78507362,LARCENY/THEFT
3/22/2006 2:05,"DRIVERS LICENSE, SUSPENDED OR REVOKED",Wednesday,INGLESIDE,"ARREST, CITED",MISSION ST / SILVER AV,-122.431295,37.72872979,OTHER OFFENSES
6/1/2012 0:01,MISSING ADULT,Friday,CENTRAL,LOCATED,900 Block of HYDE ST,-122.4170443,37.78959528,MISSING PERSON
9/17/2007 0:01,"FORGERY, DRIVERS LICENSE OR ID-CARD",Monday,RICHMOND,NONE,600 Block of 27TH AV,-122.4865999,37.7771215,FORGERY/COUNTERFEITING
5/16/2011 15:10,"AIDED CASE, MENTAL DISTURBED",Monday,NORTHERN,PSYCHOPATHIC CASE,2600 Block of LOMBARD ST,-122.4446151,37.7986829,NON-CRIMINAL
5/8/2005 6:25,TRAFFIC VIOLATION ARREST,Sunday,BAYVIEW,"ARREST, BOOKED",EVANS AV / PHELPS ST,-122.3884568,37.74298303,OTHER OFFENSES
9/8/2006 6:50,AIDED CASE,Friday,PARK,NONE,1200 Block of 6TH AV,-122.4630643,37.76462994,NON-CRIMINAL
10/9/2010 20:00,AGGRAVATED ASSAULT WITH A DEADLY WEAPON,Saturday,MISSION,NONE,2900 Block of 16TH ST,-122.419213,37.76513397,ASSAULT
1/21/2013 13:28,WARRANT ARREST,Monday,TENDERLOIN,"ARREST, BOOKED",100 Block of JONES ST,-122.4122498,37.78255633,WARRANTS
8/22/2008 7:17,POSSESSION OF BURGLARY TOOLS,Friday,CENTRAL,"ARREST, BOOKED",500 Block of TAYLOR ST,-122.4116124,37.78707114,OTHER OFFENSES
11/13/2004 15:49,TRAFFIC VIOLATION,Saturday,BAYVIEW,"ARREST, CITED",SOMERSET ST / SILVER AV,-122.4094778,37.7312555,OTHER OFFENSES
1/16/2011 20:10,THREATS AGAINST LIFE,Sunday,TARAVAL,"ARREST, BOOKED",100 Block of BYXBEE ST,-122.4698972,37.71700756,ASSAULT
11/11/2008 14:50,BATTERY,Tuesday,TARAVAL,"ARREST, BOOKED",1800 Block of 8TH AV,-122.4644559,37.75381026,ASSAULT
7/13/2010 21:50,MISSING ADULT,Tuesday,BAYVIEW,LOCATED,1400 Block of PHELPS ST,-122.3944389,37.7364439,MISSING PERSON
9/5/2004 13:00,GRAND THEFT FROM PERSON,Sunday,MISSION,NONE,2100 Block of MISSION ST,-122.4193311,37.76226434,LARCENY/THEFT
10/8/2011 17:21,"AIDED CASE, MENTAL DISTURBED",Saturday,MISSION,PSYCHOPATHIC CASE,3200 Block of 24TH ST,-122.4181903,37.75230884,NON-CRIMINAL
1/6/2004 2:00,DOMESTIC VIOLENCE,Tuesday,NORTHERN,NONE,TURK ST / STEINER ST,-122.4337848,37.78028737,SECONDARY CODES
12/26/2008 19:00,PETTY THEFT FROM UNLOCKED AUTO,Friday,CENTRAL,NONE,NORTHPOINT ST / MASON ST,-122.4137895,37.80655265,LARCENY/THEFT
3/21/2005 23:45,"BURGLARY OF APARTMENT HOUSE, FORCIBLE ENTRY",Monday,RICHMOND,NONE,700 Block of LA PLAYA ST,-122.5101707,37.77417251,BURGLARY
6/9/2014 23:00,FOUND PERSON,Monday,SOUTHERN,LOCATED,0 Block of MOSS ST,-122.4079992,37.77782417,MISSING PERSON
8/26/2011 8:50,"MALICIOUS MISCHIEF, BREAKING WINDOWS",Friday,INGLESIDE,PSYCHOPATHIC CASE,1500 Block of TREAT AV,-122.4125061,37.74568029,VANDALISM
4/1/2015 16:00,PETTY THEFT OF PROPERTY,Wednesday,RICHMOND,NONE,400 Block of 10TH AV,-122.4685628,37.77983812,LARCENY/THEFT
1/25/2004 18:55,BATTERY,Sunday,INGLESIDE,NONE,700 Block of ELLSWORTH ST,-122.4165174,37.73301039,ASSAULT
8/10/2014 10:30,GRAND THEFT FROM LOCKED AUTO,Sunday,SOUTHERN,NONE,4TH ST / HARRISON ST,-122.3996176,37.78079066,LARCENY/THEFT
5/19/2007 11:55,"MALICIOUS MISCHIEF, VANDALISM OF VEHICLES",Saturday,SOUTHERN,NONE,800 Block of BRYANT ST,-122.4034048,37.77542071,VANDALISM
4/8/2010 21:00,DOMESTIC VIOLENCE,Thursday,BAYVIEW,NONE,0 Block of CAMERON WY,-122.3858792,37.72028698,SECONDARY CODES
2/7/2014 22:49,GRAND THEFT OF PROPERTY,Friday,SOUTHERN,NONE,500 Block of MISSION ST,-122.3990102,37.78870661,LARCENY/THEFT
11/16/2005 20:00,GRAND THEFT FROM LOCKED AUTO,Wednesday,NORTHERN,NONE,LAGUNA ST / CLEARY CT,-122.427781,37.78392372,LARCENY/THEFT
7/25/2009 3:50,AIDED CASE,Saturday,MISSION,NONE,100 Block of CLINTONPARK ST,-122.4234072,37.76915693,NON-CRIMINAL
9/20/2012 16:24,MISSING JUVENILE,Thursday,TARAVAL,LOCATED,1800 Block of VICENTE ST,-122.4856038,37.73882143,MISSING PERSON
10/16/2014 22:53,ATTEMPTED THEFT OF A BICYCLE,Thursday,NORTHERN,NONE,900 Block of POLK ST,-122.4196207,37.78567229,LARCENY/THEFT
8/18/2004 13:17,PETTY THEFT SHOPLIFTING,Wednesday,SOUTHERN,"ARREST, CITED",400 Block of 10TH ST,-122.4105412,37.77091306,LARCENY/THEFT
