Dates,DayOfWeek,PdDistrict,Address,X,Y,Category
12/27/2008 20:00,Saturday,SOUTHERN,HOWARD ST / LANGTON ST,-122.409924,37.7775531,LARCENY/THEFT
10/30/2004 17:00,Saturday,TARAVAL,1700 Block of OCEAN AV,-122.4607094,37.7249317,NON-CRIMINAL
12/24/2008 21:33,Wednesday,MISSION,VALENCIA ST / 16TH ST,-122.4218864,37.76491789,OTHER OFFENSES
6/13/2006 0:40,Tuesday,BAYVIEW,0 Block of NORTHRIDGE RD,-122.375513,37.73080661,ASSAULT
7/20/2009 12:00,Monday,MISSION,3300 Block of CESAR CHAVEZ ST,-122.417067,37.74828543,SEX OFFENSES FORCIBLE
12/26/2006 17:10,Tuesday,SOUTHERN,800 Block of MARKET ST,-122.4066906,37.78520719,LARCENY/THEFT
2/9/2006 17:30,Thursday,BAYVIEW,2000 Block of SILVER AV,-122.3994835,37.73605819,SEX OFFENSES FORCIBLE
5/1/2013 2:33,Wednesday,INGLESIDE,700 Block of ROLPH ST,-122.4310153,37.7117445,BURGLARY
4/20/2012 22:16,Friday,BAYVIEW,0 Block of HARBOR RD,-122.3783923,37.73233125,OTHER OFFENSES
2/19/2009 21:30,Thursday,NORTHERN,800 Block of OFARRELL ST,-122.4187296,37.7850075,DRUG/NARCOTIC
11/10/2003 17:09,Monday,INGLESIDE,400 Block of CORTLAND AV,-122.4174505,37.73920707,FORGERY/COUNTERFEITING
10/19/2010 16:30,Tuesday,SOUTHERN,800 Block of BRYANT ST,-122.4034048,37.77542071,DRUNKENNESS
9/22/2005 16:30,Thursday,RICHMOND,7300 Block of GEARY BL,-122.4981464,37.77958692,BURGLARY
11/24/2004 18:00,Wednesday,MISSION,20TH ST / CHURCH ST,-122.4280517,37.75808998,LARCENY/THEFT
3/8/2005 16:17,Tuesday,BAYVIEW,100 Block of GAVEN ST,-122.408665,37.73341924,ASSAULT
4/3/2004 0:10,Saturday,TENDERLOIN,8TH ST / MARKET ST,-122.4147438,37.77871926,LARCENY/THEFT
7/14/2013 2:34,Sunday,SOUTHERN,0 Block of 1ST ST,-122.3977924,37.78985838,NON-CRIMINAL
7/1/2006 16:39,Saturday,NORTHERN,EDDY ST / POLK ST,-122.4191831,37.78309982,DRUG/NARCOTIC
5/6/2005 11:31,Friday,INGLESIDE,200 Block of HESTER AV,-122.3996418,37.71351861,NON-CRIMINAL
2/22/2008 11:30,Friday,BAYVIEW,1500 Block of HUDSON AV,-122.3873941,37.73947927,LARCENY/THEFT
3/31/2015 13:00,Tuesday,CENTRAL,300 Block of UNION ST,-122.4048611,37.80103793,NON-CRIMINAL
6/14/2008 23:30,Saturday,MISSION,500 Block of CASTRO ST,-122.4349948,37.76006971,BURGLARY
7/25/2004 9:30,Sunday,CENTRAL,800 Block of GEARY ST,-122.4172733,37.78614939,LARCENY/THEFT
9/7/2013 14:30,Saturday,INGLESIDE,0 Block of MANGELS AV,-122.4383671,37.73303441,NON-CRIMINAL
10/30/2008 23:25,Thursday,MISSION,0 Block of SPENCER AL,-122.4246636,37.76496232,NON-CRIMINAL
2/21/2015 9:30,Saturday,MISSION,1300 Block of YORK ST,-122.4078902,37.75044582,SEX OFFENSES FORCIBLE
7/16/2006 21:21,Sunday,NORTHERN,POST ST / STEINER ST,-122.4347332,37.78494432,OTHER OFFENSES
3/7/2009 22:00,Saturday,SOUTHERN,0 Block of PEARL ST,-122.423869,37.77100342,SECONDARY CODES
2/10/2006 19:30,Friday,SOUTHERN,400 Block of BRYANT ST,-122.3953562,37.78178286,LARCENY/THEFT
1/12/2008 3:35,Saturday,SOUTHERN,FOLSOM ST / 8TH ST,-122.4100658,37.77499068,ROBBERY
2/25/2012 14:47,Saturday,BAYVIEW,CESAR CHAVEZ ST / CONNECTICUT ST,-122.3962777,37.74974669,OTHER OFFENSES
6/29/2011 8:10,Wednesday,TENDERLOIN,GOLDEN GATE AV / HYDE ST,-122.4155082,37.78165428,LARCENY/THEFT
6/26/2014 10:00,Thursday,TARAVAL,2300 Block of 16TH AV,-122.4729467,37.74439831,VEHICLE THEFT
3/7/2007 10:14,Wednesday,TENDERLOIN,100 Block of GOLDEN GATE AV,-122.413048,37.78191196,OTHER OFFENSES
4/9/2011 1:20,Saturday,MISSION,500 Block of CAPP ST,-122.4178179,37.75788844,DISORDERLY CONDUCT
4/15/2004 4:33,Thursday,CENTRAL,1600 Block of THE EMBARCADERO NORTH ST,-122.4107742,37.80843502,MISSING PERSON
8/10/2011 10:08,Wednesday,MISSION,500 Block of CASTRO ST,-122.4348568,37.76007771,LARCENY/THEFT
9/27/2004 15:30,Monday,TARAVAL,25TH AV / IRVING ST,-122.4835524,37.76327821,OTHER OFFENSES
11/1/2006 20:30,Wednesday,INGLESIDE,1400 Block of CHURCH ST,-122.4269379,37.74730042,BURGLARY
11/26/2003 19:00,Wednesday,TARAVAL,300 Block of FAXON AV,-122.4602905,37.72094512,BURGLARY
11/2/2007 18:33,Friday,BAYVIEW,QUESADA AV / INGALLS ST,-122.3839957,37.72911385,OTHER OFFENSES
5/18/2005 16:45,Wednesday,TENDERLOIN,0 Block of UNITEDNATIONS PZ,-122.4143122,37.77983392,OTHER OFFENSES
11/15/2003 7:15,Saturday,PARK,500 Block of BURNETT AV,-122.4444669,37.75219657,OTHER OFFENSES
12/11/2006 10:35,Monday,NORTHERN,WEBSTER ST / VALLEJO ST,-122.4334696,37.79543355,OTHER OFFENSES
2/6/2015 6:25,Friday,PARK,HAIGHT ST / LYON ST,-122.4419979,37.770637,WARRANTS
1/28/2007 21:00,Sunday,CENTRAL,0 Block of BROADWAY ST,-122.3992735,37.79875077,BURGLARY
10/13/2008 19:00,Monday,NORTHERN,3600 Block of LYON ST,-122.4482784,37.80427189,LARCENY/THEFT
10/28/2009 2:00,Wednesday,INGLESIDE,3200 Block of MISSION ST,-122.4205263,37.74472547,ROBBERY
9/22/2005 18:30,Thursday,BAYVIEW,500 Block of WISCONSIN ST,-122.3993102,37.76047187,BURGLARY
8/5/2008 18:48,Tuesday,MISSION,2000 Block of MISSION ST,-122.4196583,37.76422056,DRUG/NARCOTIC
7/15/2012 19:03,Sunday,RICHMOND,22ND AV / CALIFORNIA ST,-122.4817911,37.78402811,OTHER OFFENSES
5/3/2008 23:00,Saturday,SOUTHERN,600 Block of HOWARD ST,-122.3998702,37.78542586,LARCENY/THEFT
10/5/2007 17:00,Friday,SOUTHERN,500 Block of HOWARD ST,-122.3970324,37.78782467,BURGLARY
1/10/2012 17:00,Tuesday,MISSION,1000 Block of POTRERO AV,-122.4065391,37.75648641,NON-CRIMINAL
1/27/2012 22:28,Friday,SOUTHERN,0 Block of 9TH ST,-122.4150649,37.77643541,WARRANTS
4/19/2015 13:25,Sunday,SOUTHERN,600 Block of NATOMA ST,-122.4110206,37.77748289,ASSAULT
3/22/2008 19:10,Saturday,NORTHERN,2800 Block of FILLMORE ST,-122.4352777,37.7956923,DRUG/NARCOTIC
3/9/2013 12:35,Saturday,NORTHERN,2800 Block of BAKER ST,-122.4457167,37.79700008,SECONDARY CODES
1/11/2004 12:55,Sunday,SOUTHERN,1200 Block of HOWARD ST,-122.4124474,37.77563367,OTHER OFFENSES
10/1/2004 23:00,Friday,MISSION,VALENCIA ST / 17TH ST,-122.4217338,37.76329969,LARCENY/THEFT
8/13/2006 9:34,Sunday,TARAVAL,1800 Block of IRVING ST,-122.477696,37.76359154,ASSAULT
3/23/2003 10:00,Sunday,TARAVAL,ALEMANY BL / CRYSTAL ST,-122.4606227,37.71047799,VEHICLE THEFT
3/24/2007 17:45,Saturday,SOUTHERN,0 Block of 12TH ST,-122.4200014,37.77409486,LARCENY/THEFT
11/27/2003 16:00,Thursday,NORTHERN,EDDY ST / LAGUNA ST,-122.4274003,37.78205655,LARCENY/THEFT
10/7/2005 20:00,Friday,INGLESIDE,1300 Block of EUGENIA AV,-122.4129839,37.74032646,VEHICLE THEFT
1/9/2004 23:00,Friday,CENTRAL,LARKIN ST / BUSH ST,-122.4186583,37.78890984,OTHER OFFENSES
7/27/2006 23:11,Thursday,SOUTHERN,TEHAMA ST / 8TH ST,-122.4110727,37.77579294,DRUG/NARCOTIC
12/23/2004 20:15,Thursday,MISSION,CHATTANOOGA ST / 22ND ST,-122.4266351,37.75496242,VEHICLE THEFT
2/20/2015 1:00,Friday,NORTHERN,1900 Block of LOMBARD ST,-122.4336222,37.80027029,ASSAULT
6/26/2008 21:52,Thursday,SOUTHERN,900 Block of MARKET ST,-122.4085951,37.78370693,OTHER OFFENSES
2/7/2013 9:49,Thursday,TENDERLOIN,0 Block of TURK ST,-122.4098537,37.78338624,DRUG/NARCOTIC
8/13/2011 20:22,Saturday,MISSION,18TH ST / SANCHEZ ST,-122.4305741,37.76115546,DRUG/NARCOTIC
1/11/2012 21:20,Wednesday,SOUTHERN,100 Block of 8TH ST,-122.4118042,37.77645698,NON-CRIMINAL
1/9/2009 3:10,Friday,SOUTHERN,6TH ST / NATOMA ST,-122.4076931,37.78016307,FORGERY/COUNTERFEITING
1/28/2005 17:35,Friday,CENTRAL,POWELL ST / CLAY ST,-122.4095436,37.79385115,NON-CRIMINAL
9/14/2004 19:00,Tuesday,PARK,FULTON ST / STANYAN ST,-122.4546368,37.77476002,NON-CRIMINAL
8/27/2010 19:40,Friday,BAYVIEW,600 Block of ARKANSAS ST,-122.3980228,37.75862616,VANDALISM
4/10/2011 0:01,Sunday,NORTHERN,200 Block of OAK ST,-122.4233711,37.77486663,FRAUD
11/30/2007 19:22,Friday,CENTRAL,1200 Block of VALLEJO ST,-122.4178775,37.79748988,OTHER OFFENSES
3/20/2006 12:00,Monday,MISSION,3700 Block of 24TH ST,-122.426913,37.75179142,OTHER OFFENSES
1/11/2005 8:30,Tuesday,TARAVAL,2000 Block of 37TH AV,-122.4955028,37.74870685,SUSPICIOUS OCC
4/22/2011 0:30,Friday,RICHMOND,TRANSVERSE DR / OVERLOOK DR,-122.4794653,37.76987643,ROBBERY
2/22/2014 16:18,Saturday,MISSION,1000 Block of POTRERO AV,-122.4065391,37.75648641,FAMILY OFFENSES
10/20/2007 11:00,Saturday,SOUTHERN,1300 Block of HOWARD ST,-122.4142178,37.77423917,NON-CRIMINAL
5/4/2012 20:00,Friday,TARAVAL,1500 Block of SLOAT BL,-122.489714,37.73394977,LARCENY/THEFT
9/20/2006 11:45,Wednesday,BAYVIEW,100 Block of MARLIN CT,-122.3723517,37.72719929,ASSAULT
12/9/2003 13:25,Tuesday,MISSION,0 Block of SAN BRUNO AV,-122.4081287,37.7377265,LARCENY/THEFT
7/1/2010 22:29,Thursday,TENDERLOIN,ELLIS ST / LEAVENWORTH ST,-122.4144332,37.78465763,OTHER OFFENSES
11/28/2003 23:00,Friday,BAYVIEW,800 Block of MICHIGAN ST,-122.3863976,37.75932531,LARCENY/THEFT
1/21/2003 23:00,Tuesday,SOUTHERN,100 Block of VALENCIA ST,-122.422375,37.7707189,VEHICLE THEFT
8/12/2012 18:25,Sunday,MISSION,MISSION ST / 23RD ST,-122.4185967,37.7538382,OTHER OFFENSES
8/23/2013 13:00,Friday,RICHMOND,500 Block of JOHNFKENNEDY DR,-122.4662047,37.77254054,LARCENY/THEFT
4/11/2010 20:00,Sunday,SOUTHERN,0 Block of DORE ST,-122.413046,37.77386178,MISSING PERSON
12/2/2007 1:44,Sunday,SOUTHERN,6TH ST / MISSION ST,-122.4087106,37.78097067,DRUNKENNESS
4/1/2013 13:00,Monday,TARAVAL,200 Block of WINSTON DR,-122.4779767,37.72693464,FRAUD
11/11/2013 5:50,Monday,CENTRAL,500 Block of BEACH ST,-122.4180892,37.80691153,BURGLARY
7/27/2012 17:00,Friday,NORTHERN,1500 Block of OFARRELL ST,-122.4306105,37.78349637,SUSPICIOUS OCC
2/20/2014 11:05,Thursday,BAYVIEW,1900 Block of OAKDALE AV,-122.3968547,37.73837018,LARCENY/THEFT
8/8/2014 21:55,Friday,TARAVAL,0 Block of UPLAND DR,-122.46133,37.72872758,ASSAULT
5/2/2012 17:00,Wednesday,INGLESIDE,CAYUGA AV / LAMARTINE ST,-122.4330337,37.73055547,VEHICLE THEFT
6/3/2011 15:00,Friday,INGLESIDE,200 Block of HARKNESS AV,-122.4021208,37.71743376,OTHER OFFENSES
4/15/2003 16:00,Tuesday,TENDERLOIN,100 Block of OFARRELL ST,-122.4072224,37.78645626,LARCENY/THEFT
11/10/2003 15:30,Monday,SOUTHERN,MARKET ST / POWELL ST,-122.4075459,37.78440118,MISSING PERSON
12/26/2003 11:50,Friday,NORTHERN,EDDY ST / LAGUNA ST,-122.4274003,37.78205655,OTHER OFFENSES
5/13/2013 18:00,Monday,MISSION,23RD ST / BARTLETT ST,-122.4197055,37.7537707,LARCENY/THEFT
11/29/2014 22:00,Saturday,CENTRAL,500 Block of GREEN ST,-122.4086032,37.79959981,LARCENY/THEFT
3/7/2014 19:20,Friday,SOUTHERN,MARKET ST / 2ND ST,-122.4013781,37.78926393,NON-CRIMINAL
3/12/2010 0:20,Friday,NORTHERN,1800 Block of WASHINGTON ST,-122.4237213,37.79299795,SECONDARY CODES
4/4/2003 21:00,Friday,TENDERLOIN,MARKET ST / HYDE ST,-122.4147438,37.77871926,FRAUD
1/10/2013 21:00,Thursday,INGLESIDE,1000 Block of HURON AV,-122.4538605,37.70876028,VEHICLE THEFT
9/8/2006 7:20,Friday,CENTRAL,300 Block of GEARY ST,-122.4090552,37.78719796,ROBBERY
5/4/2011 19:50,Wednesday,TENDERLOIN,400 Block of ELLIS ST,-122.4136093,37.78469691,OTHER OFFENSES
5/3/2010 18:30,Monday,TARAVAL,100 Block of ARCH ST,-122.4670146,37.7133658,SECONDARY CODES
3/8/2008 20:00,Saturday,CENTRAL,1600 Block of THE EMBARCADERONORTH ST,-122.4107742,37.80843502,LARCENY/THEFT
4/26/2004 5:00,Monday,MISSION,3100 Block of 24TH ST,-122.4146345,37.75252762,ROBBERY
3/31/2014 17:30,Monday,CENTRAL,900 Block of MASON ST,-122.4108456,37.79231587,NON-CRIMINAL
10/28/2014 9:00,Tuesday,SOUTHERN,BRYANT ST / 3RD ST,-122.3958483,37.78132105,VEHICLE THEFT
2/6/2003 17:00,Thursday,TENDERLOIN,TURK ST / JONES ST,-122.4124143,37.7830038,DRUG/NARCOTIC
10/20/2012 23:43,Saturday,INGLESIDE,500 Block of CARTER ST,-122.423628,37.70880618,ASSAULT
2/21/2011 19:54,Monday,BAYVIEW,CESAR CHAVEZ ST / TENNESSEE ST,-122.388509,37.75020657,SUSPICIOUS OCC
6/11/2014 1:00,Wednesday,MISSION,MISSION ST / 16TH ST,-122.4196718,37.76505012,NON-CRIMINAL
6/30/2006 22:08,Friday,INGLESIDE,4200 Block of MISSION ST,-122.4305819,37.72959681,VANDALISM
12/13/2011 20:50,Tuesday,TARAVAL,0 Block of FARALLONES ST,-122.4541544,37.71403509,MISSING PERSON
2/7/2012 19:00,Tuesday,MISSION,1500 Block of BRYANT ST,-122.4107381,37.76752431,LARCENY/THEFT
8/11/2013 19:01,Sunday,TENDERLOIN,300 Block of GOLDEN GATE AV,-122.416352,37.78160314,NON-CRIMINAL
3/22/2015 0:01,Sunday,MISSION,400 Block of VICKSBURG ST,-122.4283577,37.75042636,LARCENY/THEFT
11/19/2011 5:44,Saturday,INGLESIDE,29TH ST / MISSION ST,-122.4208966,37.74403815,ROBBERY
10/30/2006 10:30,Monday,NORTHERN,2400 Block of CALIFORNIA ST,-122.4346894,37.78885384,LARCENY/THEFT
6/23/2009 21:33,Tuesday,MISSION,3100 Block of 16TH ST,-122.4223886,37.76483195,NON-CRIMINAL
10/3/2006 18:00,Tuesday,TARAVAL,100 Block of HOWTH ST,-122.4504688,37.72141077,MISSING PERSON
12/11/2009 19:37,Friday,MISSION,200 Block of CLINTONPARK ST,-122.4256548,37.76899247,DISORDERLY CONDUCT
4/1/2003 0:01,Tuesday,TARAVAL,2300 Block of 19TH AV,-122.4758343,37.74396232,LARCENY/THEFT
3/19/2008 7:50,Wednesday,SOUTHERN,0 Block of 5TH ST,-122.4077258,37.78379907,FRAUD
9/10/2005 20:00,Saturday,MISSION,TREAT AV / 22ND ST,-122.4132977,37.75576479,VEHICLE THEFT
12/12/2014 16:00,Friday,CENTRAL,500 Block of GEARY ST,-122.4119559,37.78693919,NON-CRIMINAL
5/4/2011 15:40,Wednesday,NORTHERN,100 Block of FELL ST,-122.4203321,37.77620758,ASSAULT
9/5/2004 22:30,Sunday,NORTHERN,100 Block of BUCHANAN ST,-122.4269453,37.77112664,LARCENY/THEFT
10/17/2014 0:01,Friday,SOUTHERN,500 Block of BEALE ST,-122.3891136,37.78572819,LARCENY/THEFT
4/6/2005 10:38,Wednesday,MISSION,2000 Block of MARKET ST,-122.4269556,37.76924706,WARRANTS
9/5/2013 21:14,Thursday,TENDERLOIN,300 Block of ELLIS ST,-122.4119876,37.78502266,ASSAULT
3/17/2014 16:45,Monday,BAYVIEW,300 Block of BURROWS ST,-122.4066029,37.72823663,ASSAULT
1/16/2010 20:39,Saturday,MISSION,2300 Block of 16TH ST,-122.4095299,37.76571844,ASSAULT
1/12/2013 23:00,Saturday,MISSION,17TH ST / CAPP ST,-122.4184863,37.76349544,LARCENY/THEFT
12/23/2004 17:47,Thursday,MISSION,2300 Block of 16TH ST,-122.4095299,37.76571844,VEHICLE THEFT
11/3/2012 23:00,Saturday,SOUTHERN,100 Block of 6TH ST,-122.4078771,37.7803875,OTHER OFFENSES
5/5/2006 2:00,Friday,SOUTHERN,700 Block of HARRISON ST,-122.3978145,37.78213725,ASSAULT
5/16/2006 13:24,Tuesday,NORTHERN,EDDY ST / LARKIN ST,-122.4175307,37.78331075,OTHER OFFENSES
1/10/2014 16:30,Friday,SOUTHERN,800 Block of BRYANT ST,-122.4034048,37.77542071,LARCENY/THEFT
6/24/2004 17:00,Thursday,CENTRAL,UNION ST / TAYLOR ST,-122.4141214,37.79982286,VEHICLE THEFT
12/24/2008 8:00,Wednesday,RICHMOND,400 Block of 9TH AV,-122.4674886,37.7798912,RUNAWAY
2/18/2009 20:42,Wednesday,BAYVIEW,900 Block of SILVER AV,-122.4166674,37.72875241,ROBBERY
5/21/2011 8:00,Saturday,SOUTHERN,0 Block of MOSS ST,-122.4079992,37.77782417,MISSING PERSON
12/14/2008 20:24,Sunday,MISSION,CAPP ST / 17TH ST,-122.4184863,37.76349544,PROSTITUTION
1/1/2011 0:01,Saturday,INGLESIDE,900 Block of DUNCAN ST,-122.4421558,37.74518509,LARCENY/THEFT
6/8/2009 16:50,Monday,CENTRAL,POLK ST / NORTHPOINT ST,-122.4236584,37.80528509,NON-CRIMINAL
11/14/2013 0:01,Thursday,RICHMOND,700 Block of PARKER AV,-122.4529539,37.77535673,LARCENY/THEFT
4/3/2009 16:00,Friday,NORTHERN,OCTAVIA ST / CHESTNUT ST,-122.4296711,37.80165434,VANDALISM
6/3/2012 19:37,Sunday,TENDERLOIN,300 Block of TAYLOR ST,-122.4113028,37.78553558,WARRANTS
7/2/2010 18:41,Friday,MISSION,2900 Block of HARRISON ST,-122.411737,37.75021556,NON-CRIMINAL
2/9/2014 23:45,Sunday,BAYVIEW,1200 Block of EGBERT AV,-122.389889,37.72104632,OTHER OFFENSES
4/5/2014 18:15,Saturday,CENTRAL,POST ST / POWELL ST,-122.4084039,37.78829339,OTHER OFFENSES
1/24/2005 22:25,Monday,CENTRAL,600 Block of MASON ST,-122.4102713,37.78950163,VEHICLE THEFT
4/2/2013 5:00,Tuesday,BAYVIEW,1400 Block of QUESADA AV,-122.3867689,37.73075419,MISSING PERSON
1/23/2008 20:05,Wednesday,CENTRAL,HYDE ST / CALIFORNIA ST,-122.4173928,37.79097412,OTHER OFFENSES
11/1/2010 0:01,Monday,TARAVAL,1800 Block of 22ND AV,-122.4795521,37.75315177,FRAUD
5/5/2007 21:50,Saturday,SOUTHERN,1000 Block of MISSION ST,-122.4098928,37.7801135,OTHER OFFENSES
5/19/2005 21:18,Thursday,INGLESIDE,0 Block of SANTOS ST,-122.4184739,37.71210405,SUSPICIOUS OCC
10/31/2004 23:59,Sunday,NORTHERN,900 Block of GEARY ST,-122.4189184,37.78594073,NON-CRIMINAL
7/17/2011 1:57,Sunday,SOUTHERN,800 Block of BRYANT ST,-122.4034048,37.77542071,WARRANTS
4/4/2015 7:40,Saturday,INGLESIDE,500 Block of RUTLAND ST,-122.4065591,37.71421357,LARCENY/THEFT
4/28/2014 15:30,Monday,SOUTHERN,400 Block of SPEAR ST,-122.3887902,37.78840539,SUSPICIOUS OCC
9/1/2014 9:00,Monday,SOUTHERN,BRYANT ST / 6TH ST,-122.4025276,37.77603828,LARCENY/THEFT
12/25/2003 8:00,Thursday,SOUTHERN,600 Block of BRANNAN ST,-122.399841,37.77563279,BURGLARY
6/3/2010 7:30,Thursday,PARK,100 Block of BELVEDERE ST,-122.4493286,37.76777389,RUNAWAY
4/14/2003 9:20,Monday,SOUTHERN,800 Block of BRYANT ST,-122.4034048,37.77542071,NON-CRIMINAL
10/29/2012 8:00,Monday,TARAVAL,0 Block of MIRAMAR AV,-122.4581009,37.71912973,MISSING PERSON
4/25/2010 0:01,Sunday,SOUTHERN,200 Block of TOWNSEND ST,-122.3944912,37.77755403,SECONDARY CODES
2/20/2014 16:50,Thursday,SOUTHERN,500 Block of 3RD ST,-122.3957296,37.7811529,SUSPICIOUS OCC
9/4/2004 12:00,Saturday,INGLESIDE,5100 Block of MISSION ST,-122.441352,37.71612709,SUSPICIOUS OCC
6/14/2011 18:00,Tuesday,PARK,TURK ST / LYON ST,-122.4437022,37.77903649,LARCENY/THEFT
4/2/2004 19:14,Friday,SOUTHERN,100 Block of 6TH ST,-122.4084666,37.78070083,OTHER OFFENSES
2/9/2011 20:35,Wednesday,SOUTHERN,200 Block of 9TH ST,-122.4129432,37.77473966,WARRANTS
8/8/2003 19:13,Friday,TENDERLOIN,100 Block of GOLDEN GATE AV,-122.4130699,37.78202043,DRUG/NARCOTIC
9/11/2010 19:51,Saturday,RICHMOND,FULTON ST / LA PLAYA ST,-122.509893,37.7713943,OTHER OFFENSES
5/3/2009 22:31,Sunday,SOUTHERN,200 Block of KING ST,-122.392773,37.77708678,VANDALISM
8/23/2008 14:40,Saturday,INGLESIDE,400 Block of POPE ST,-122.4395542,37.70978041,NON-CRIMINAL
4/20/2012 21:00,Friday,TENDERLOIN,100 Block of GOLDEN GATE AV,-122.4130699,37.78202043,LARCENY/THEFT
8/26/2011 16:00,Friday,NORTHERN,500 Block of HAYES ST,-122.4254163,37.77662802,LARCENY/THEFT
7/6/2004 9:25,Tuesday,TARAVAL,100 Block of INVERNESS DR,-122.4827757,37.73175537,BURGLARY
10/14/2014 12:10,Tuesday,SOUTHERN,1300 Block of MARKET ST,-122.4168189,37.7769362,ASSAULT
12/17/2006 3:28,Sunday,BAYVIEW,BAY SHORE BL / VISITACION AV,-122.4042261,37.71040888,OTHER OFFENSES
10/28/2004 23:45,Thursday,INGLESIDE,500 Block of 27TH ST,-122.4328649,37.74645302,ROBBERY
3/4/2014 9:10,Tuesday,SOUTHERN,100 Block of CLARA ST,-122.4010846,37.78040196,LARCENY/THEFT
8/7/2003 17:00,Thursday,TENDERLOIN,400 Block of OFARRELL ST,-122.4117425,37.78588822,OTHER OFFENSES
